"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"GENDER",0.294440090656281,-0.169727399945259,0.259211987257004,-0.0165687017142773,0.0142216654494405,0.000758006237447262,0.00252508348785341,0.180889159440994,0.343899995088577,0.000424841535277665,0.000112040652311407,0,0.000354639429133385,-0.000353019859176129,-0.000354413001332432,-0.000354641524609178,0.000355815922375768,-0.000396368530346081,0.000189904065337032,-0.000189842481631786,0.000396410090615973,0.000189876474905759
"BOX1_SCORE",0.00113575579598546,-0.00348080694675446,0.085194393992424,-0.0188227109611034,0.0427839085459709,0.0359513759613037,-0.00104293785989285,-0.16548128426075,-0.280277580022812,0.00142430420964956,0.000611876195762306,-0.000189844344276935,0.000189841550309211,-0.000352692615706474,-0.000189856567885727,-0.00018984911730513,-0.000189887068700045,0.000396396237192675,0.000355818250682205,-0.000189884274732322,-0.000352573057170957,-0.000354293442796916
"BOX2_SCORE",0.00293228053487837,0.102200008928776,0.0889567881822586,-0.00101738679222763,-0.00102434051223099,0.0429115854203701,0.0018822755664587,0.0615428797900677,0.00101704383268952,-0.000214414787478745,-0.000315715820761397,0.000189865648280829,0.000189896847587079,-0.000189867161680013,0,0.00039635002030991,0.000352539063896984,-0.000189905113074929,0.000189865764696151,0.000352593313436955,-0.000189820711966604,0.000189859012607485
"BOX3_SCORE",0.00406406167894602,0.00068293180083856,0.000680770666804165,0.0338976867496967,-0.000216486514545977,0.00109685095958412,0.000592848635278642,0,-0.000138469200464897,-0.561358213424683,0.00028304144507274,0.000354637566488236,-0.000352541508618742,0,-0.000352669216226786,0.000305658730212599,-0.000396391580579802,-0.000355805328581482,0.000354587740730494,0.000354415678884834,0.000189877056982368,0.000305645691696554
"PERFORMANCE_STATUS",0.328408867120743,0.149464413523674,0.00264543457888067,0.00158488564193249,0.000819499487988651,0.00288625434041023,0.000940647907555103,0.000842074281536043,0,0.000738869362976402,-0.000406796694733202,-0.00014002833631821,0.000396405317587778,-0.000355841999407858,-0.000396368530346081,0.000353021023329347,0.000352659437339753,-0.000189650862012058,0.000352656643372029,0.000354585994500667,-0.000352590868715197,0.000352596689481288
"PERFORMANCE_STATUS_0",-0.000544479989912361,-0.000186299934284762,-0.000798085238784552,0.00120931270066649,0.000456483277957886,-0.0401400588452816,0,-0.221221566200256,0.00215241848491132,-0.00117436936125159,0.000761806033551693,0,-0.00018984213238582,0,0,-0.000189841084647924,-0.000354631512891501,0,0.000189863436389714,-0.000354639545548707,0.000189839222002774,0.000396373303374276
"PERFORMANCE_STATUS_1",-0.00135298061650246,-0.00156866444740444,-0.000869720242917538,-0.00135918904561549,-0.00172257877420634,-0.000161557865794748,-0.00192787952255458,0.00139227230101824,-0.113060966134071,0.000706806313246489,-0.000281872577033937,-0.000189856684301049,-0.000354631396476179,0.00018990266835317,0.00018986634677276,0.000355801836121827,0.000354415911715478,0.000396352814277634,0.000352580624166876,-0.000396352465031669,0,0.000352674222085625
"PERFORMANCE_STATUS_2",0.00121267267968506,0.151076182723045,0.00278375414200127,-0.0757822915911674,-0.0256012324243784,0.00291405129246414,0.189988419413567,0.000308764167129993,0.149763464927673,0.000363700673915446,0,0.000396366318454966,-0.000189877289813012,0.000355833151843399,-0.000396391580579802,0.000352590635884553,0,-0.000156446505570784,-0.00035441160434857,0,0,0.000354636169504374
"PERFORMANCE_STATUS_3",0.189024597406387,0.000356629374437034,0,0.0157350432127714,0.0911253467202187,-0.00161514116916806,0.000387632113415748,0.000241136091062799,-0.000393881055060774,0,0,-0.000355809403117746,0.000352704024408013,-0.000189898593816906,-0.000354427669662982,-0.00018988671945408,0.000352603674400598,-0.000189858779776841,0.000189891143236309,0.000189893587958068,0.000354617310222238,0
"PERFORMANCE_STATUS_4",0.0559684112668037,0.00437066704034805,0.175710380077362,0.175996318459511,0,0.0831232070922852,-0.000434069661423564,0,-0.000808210577815771,0,0,-0.000352694827597588,0.000355800439137965,-0.000354649673681706,0.000396358751459047,-0.000189847953151911,-0.00035259040305391,-0.000352584582287818,-0.000189899990800768,-0.00035458366619423,0.000396389135858044,-0.000354603456798941
