,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
GENDER,0.398978144,-0.235515863,0.351414382,-0.123545408,0.1024087,-0.003032341,0.11185468,0.305874377,0.399136364,-0.082010359,-0.125928819,,,,,,,,,,,
BOX1_SCORE,-0.001993484,-0.075049773,0.136455074,-0.105277307,0.134078845,0.047518834,-0.029970344,-0.300107479,-0.329936028,0.020267623,0.065741241,,,,,,,,,,,
BOX2_SCORE,0.09153688,0.144847229,0.146529764,-0.085279398,0.013157333,0.174559429,0.082209773,0.270555645,0.120589316,-0.221856639,0.018560497,,,,,,,,,,,
BOX3_SCORE,0.18990013,0.055879563,-0.057097185,0.111768991,-0.079432733,0.019722266,0.056041889,-0.024865421,-0.03670055,-0.257954568,-0.052997731,,,,,,,,,,,
PERFORMANCE_STATUS,0.239050642,0.139349312,0.064513013,0.058764365,-0.005007616,0.082201615,0.02033579,0.090764008,-0.069611058,-0.083961613,-0.058266014,,,,,,,,,,,
PERFORMANCE_STATUS_0,-0.107983589,-0.095766142,0.007707733,0.024203174,0.022201777,-0.075914085,-0.033516578,-0.200211763,0.112734653,-0.004257951,-0.018819671,,,,,,,,,,,
PERFORMANCE_STATUS_1,-0.054372806,-0.0546313,-0.069085963,0.006639256,0.007299583,0.033971041,-0.069442414,0.133467317,-0.183435112,0.124031059,0.126593411,,,,,,,,,,,
PERFORMANCE_STATUS_2,-0.027272545,0.174609601,0.077068605,-0.188215062,-0.114535727,0.037313916,0.231083259,0.068502195,0.264074594,-0.129725382,-0.146874249,,,,,,,,,,,
PERFORMANCE_STATUS_3,0.260136366,0.000290769,-0.075430006,0.095560655,0.128023952,-0.077274732,-0.05967471,0.046569049,-0.135434687,-0.052578356,-0.016397649,,,,,,,,,,,
PERFORMANCE_STATUS_4,0.107563809,0.069133647,0.219730541,0.222162142,-0.072303109,0.204845995,-0.12670368,-0.154089719,-0.093570091,-0.011387714,-0.002172714,,,,,,,,,,,
